#CODIGO,DESCRICAO
"14","Agroecológica - ENCERRADO"
"01","Convencional - ENCERRADO"
"02","Plantio Direto - ENCERRADO"
"03","Cultivo Mínimo"
"04","No Toco - ENCERRADO"
"05","Pré-Germinado"
"06","Estufa - ENCERRADO"
"07","Em Galpão - ENCERRADO"
"08","Hidroponia"
"09","Extrativismo - ENCERRADO"
"10","Pecuária Extensiva - ENCERRADO"
"11","Pecuária Semi-intensiva - ENCERRADO"
"12","Pecuária Intensiva - ENCERRADO"
"13","Pecuária Confinamento - ENCERRADO"
"00","Não se aplica"
"21","Criação em áreas marinhas delimitadas"
"22","Criação em ranário"
"25","cultivo/manejo em floresta pública"
"16","Criação em Tanques Escavados"
"18","Criação em Tanques Redes/Fluxo Contínuo"
"15","CULTIVO PROTEGIDO"
"20","Substrato"
