#COD_MUNICIPIO_CADMU,NOME_MUNICIPIO,COD_MUNICIPIO_IBGE,COD_UF,NOME_UF,COD_UF_IBGE
23142,PALHOÇA,4211900,SC,SANTA CATARINA,42
54551,PAIAL,4211876,SC,SANTA CATARINA,42
25322,PIUMHI,3151503,MG,MINAS GERAIS,31
18140,ITABAIANA,2802908,SE,SERGIPE,28
13736,ITACAJÁ,1710508,TO,TOCANTINS,17
17488,MONTANHAS,2407708,RN,RIO GRANDE DO NORTE,24
33046,BAGÉ,4301602,RS,RIO GRANDE DO SUL,43
50397,MONTEZUMA,3143450,MG,MINAS GERAIS,31
10090,MANOEL EMÍDIO,2205904,PI,PIAUÍ,22
4556,ITAJAÍ,4208203,SC,SANTA CATARINA,42
24907,RESENDE COSTA,3154200,MG,MINAS GERAIS,31
16836,ALTÔNIA,4100509,PR,PARANÁ,41
12744,COREAÚ,2304004,CE,CEARÁ,23
28161,SÃO JOSÉ DO OURO,4318606,RS,RIO GRANDE DO SUL,43
19345,TACAIMBÓ,2614709,PE,PERNAMBUCO,26
50294,IPABA,3131158,MG,MINAS GERAIS,31
31220,GROAÍRAS,2304905,CE,CEARÁ,23
6145,ENVIRA,1301506,AM,AMAZONAS,13
55804,SENADOR SALGADO FILHO,4320321,RS,RIO GRANDE DO SUL,43
55615,CRISTAL DO SUL,4306072,RS,RIO GRANDE DO SUL,43
40376,ITAPEVA,3522406,SP,SÃO PAULO,35
8583,OLIVEIRA FORTES,3145703,MG,MINAS GERAIS,31
6293,JOSÉ DA PENHA,2406007,RN,RIO GRANDE DO NORTE,24
29782,PIRAPOZINHO,3539202,SP,SÃO PAULO,35
46796,TUPIRATINS,1721307,TO,TOCANTINS,17
50445,SANTANA DO PARAÍSO,3158953,MG,MINAS GERAIS,31
57709,ALMIRANTE TAMANDARÉ DO SUL,4300471,RS,RIO GRANDE DO SUL,43
47812,HONÓRIO SERPA,4109658,PR,PARANÁ,41
38539,ÁGUA BRANCA,2200202,PI,PIAUÍ,22
39129,ALVARENGA,3102209,MG,MINAS GERAIS,31
4769,MUNDO NOVO,2922102,BA,BAHIA,29
53590,LEME DO PRADO,3138351,MG,MINAS GERAIS,31
28374,CARRAPATEIRA,2504108,PB,PARAÍBA,25
14948,CAMACHO,3110400,MG,MINAS GERAIS,31
4910,OUVIDOR,5215504,GO,GOIÁS,52
24639,UBATÃ,2932309,BA,BAHIA,29
18119,ITAJOBI,3521903,SP,SÃO PAULO,35
56645,CHUPINGUAIA,1100924,RO,RONDÔNIA,11
19613,NACIP RAYDAN,3144201,MG,MINAS GERAIS,31
