#CODIGO,DESCRICAO,DATA_INICIO,DATA_FIM,FINANCIAMENTO
"0001","PRONAF - PROGRAMA NACIONAL DE FORTALECIMENTO DA AGRICULTURA FAMILIAR","01/11/2011","31/12/2099","Pode ser utilizado em financiamentos"
"0100","PRLC-BA (PROG RECUP LAVOURA CACAUEIRA BAIANA) ENCERRADO","01/11/2011","30/09/2022","Pode ser utilizado em financiamentos"
"0110","PRODECER III - PROG COOP NIPO-BRASILEIRA P DESENV DOS CERRADOS - ENCERRADO","01/11/2011","30/09/2022","Pode ser utilizado em financiamentos"
"0151","PROCAP-AGRO (PROGRAMA DE CAPITALIZAÇÃO DAS COOPERATIVAS DE PRODUÇÃO AGROPECUÁRIAS)","01/11/2011","31/12/2099","Pode ser utilizado em financiamentos"
"0152","PROIRRIGA - antigo Moderinfra, alterado em 01/07/2021","01/11/2011","31/12/2099","Pode ser utilizado em financiamentos"
"0153","MODERAGRO - PROGRAMA DE MODERNIZAÇÃO DA AGRICULTURA E CONSERVAÇÃO DE RECURSOS NATURAIS","01/11/2011","31/12/2099","Pode ser utilizado em financiamentos"
"0154","MODERFROTA - PROGRAMA DE MODERNIZAÇÃO DA FROTA DE TRATORES AGRÍCOLAS E IMPL ASSOC E COLHEITADEIRAS","01/11/2011","31/12/2099","Pode ser utilizado em financiamentos"
"0155","PRODECOOP - PROGRAMA DE DESENVOLVIMENTO COOPERATIVO PARA AGREGAÇÃO DE VALOR À PRODUÇÃO AGROPECUÁRIA","01/11/2011","31/12/2099","Pode ser utilizado em financiamentos"
"0156","ABC + "Programa para a Adaptação à Mudança do Clima e Baixa Emissão de Carbono"","01/11/2011","31/12/2099","Pode ser utilizado em financiamentos"
"0157","PSI-RURAL - PROG SUSTENTAÇÃO  INVESTIMENTO ENCERRADO","01/11/2011","31/05/2016","Pode ser utilizado em financiamentos"
"0158","PROCAP-CRED (PROG CAPIT COOP CRÉDITO) ENCERRADO","01/11/2011","05/04/2016","Pode ser utilizado em financiamentos"
"0050","PRONAMP - PROGRAMA NACIONAL DE APOIO AO MÉDIO PRODUTOR RURAL","01/11/2011","31/12/2099","Pode ser utilizado em financiamentos"
"0159","MODERMAQ - PROG MOD PARQUE IND NACIONAL - ENCERRADO","06/08/2004","30/06/2016","Pode ser utilizado em financiamentos"
"0200","PROCERA - PROG ESPECIAL DE CRÉDITO PARA A REFORMA AGRÁRIA - ENCERRADO","01/01/1984","30/09/2022","Pode ser utilizado em financiamentos"
"0240","ANF - ATIVIDADE NÃO FINANCIADA ENQUADRADA NO PROAGRO","01/01/1984","31/12/2099","Não pode ser utilizado em financiamentos"
"0160","PRI - PROGRAMA DE REFORÇO DO INVESTIMENTO (CIRC 3.745) - ENCERRADO","01/01/2013","31/12/2015","Pode ser utilizado em financiamentos"
"0777","Linha Crédito Rural inst Res. 4.147/2012 e 4.260/2013 (Demais Agricultores) ENCERRADO","26/10/2012","31/12/2015","Pode ser utilizado em financiamentos"
